iter	Passed	Remaining
459	10165	11932
460	10189	11914
461	10214	11895
462	10242	11879
463	10262	11855
464	10287	11836
465	10315	11820
466	10340	11801
467	10362	11779
468	10382	11754
469	10400	11727
470	10423	11706
471	10446	11686
472	10471	11666
473	10495	11647
474	10516	11623
475	10538	11601
476	10565	11584
477	10589	11564
478	10615	11546
479	10635	11521
480	10657	11499
481	10678	11476
482	10702	11456
483	10722	11431
484	10746	11410
485	10768	11389
486	10788	11364
487	10812	11344
488	10833	11320
489	10855	11298
490	10875	11274
491	10898	11252
492	10920	11230
493	10939	11205
494	10957	11179
495	10982	11159
496	11007	11140
497	11028	11117
498	11052	11096
499	11076	11076
500	11097	11053
501	11121	11032
502	11149	11016
503	11170	10993
504	11198	10976
505	11220	10954
506	11239	10929
507	11266	10911
508	11287	10888
509	11307	10863
510	11334	10846
511	11358	10826
512	11378	10801
513	11401	10780
514	11421	10756
515	11439	10730
516	11457	10704
517	11474	10677
518	11493	10652
519	11510	10625
520	11528	10599
521	11545	10572
522	11564	10547
523	11582	10521
524	11602	10497
525	11623	10474
526	11642	10449
527	11663	10426
528	11688	10406
529	11708	10382
530	11730	10360
531	11756	10342
532	11779	10320
533	11804	10301
534	11828	10280
535	11850	10258
536	11875	10239
537	11902	10221
538	11943	10215
539	11972	10199
540	11993	10176
541	12021	10158
542	12044	10137
543	12064	10112
544	12089	10093
545	12115	10073
546	12140	10054
547	12162	10031
548	12185	10009
549	12211	9991
550	12229	9965
551	12248	9940
552	12265	9914
553	12287	9891
554	12305	9866
555	12324	9841
556	12343	9816
557	12364	9793
558	12384	9770
559	12405	9746
560	12423	9721
561	12441	9696
562	12461	9672
563	12481	9648
564	12504	9627
565	12528	9606
566	12551	9584
567	12570	9560
568	12589	9536
569	12613	9515
570	12639	9496
571	12658	9471
572	12681	9450
573	12705	9429
574	12727	9407
575	12755	9389
576	12777	9367
577	12804	9348
578	12825	9325
579	12847	9303
580	12883	9291
581	12910	9272
582	12934	9251
583	12957	9229
584	12978	9207
585	13000	9184
586	13024	9164
587	13054	9146
588	13075	9124
589	13109	9110
590	13137	9091
591	13154	9065
592	13173	9041
593	13197	9020
594	13220	8998
595	13240	8975
596	13264	8954
597	13286	8931
598	13307	8908
599	13331	8887
600	13355	8866
601	13375	8843
602	13402	8823
603	13427	8803
604	13446	8779
605	13468	8756
606	13486	8731
607	13504	8707
608	13526	8684
609	13544	8659
610	13562	8634
611	13581	8610
612	13599	8585
613	13617	8561
614	13634	8535
615	13651	8510
616	13669	8485
617	13688	8461
618	13707	8436
619	13728	8413
620	13745	8389
621	13765	8365
622	13784	8341
623	13804	8318
624	13827	8296
625	13847	8273
626	13866	8249
627	13888	8226
628	13915	8207
629	13940	8187
630	13967	8168
631	13990	8146
632	14009	8122
633	14034	8102
634	14060	8082
635	14084	8061
636	14108	8039
637	14130	8017
638	14151	7994
639	14173	7972
640	14198	7952
641	14222	7930
642	14245	7909
643	14268	7887
644	14290	7865
645	14312	7843
646	14333	7820
647	14353	7797
648	14373	7773
649	14396	7752
650	14421	7731
651	14443	7708
652	14464	7686
653	14484	7663
654	14503	7639
655	14522	7615
656	14543	7592
657	14570	7572
658	14592	7550
659	14613	7528
660	14634	7505
661	14661	7485
662	14683	7463
663	14706	7441
664	14731	7420
665	14764	7404
666	14787	7382
667	14807	7359
668	14832	7338
669	14856	7317
670	14906	7308
671	14931	7288
672	14961	7269
673	14986	7248
674	15010	7227
675	15031	7204
676	15051	7181
677	15076	7160
678	15101	7139
679	15123	7116
680	15145	7094
681	15170	7073
682	15191	7051
683	15212	7028
684	15238	7007
685	15257	6983
686	15281	6962
687	15306	6941
688	15330	6919
689	15353	6897
690	15377	6876
691	15402	6855
692	15423	6832
693	15445	6810
694	15467	6787
695	15489	6765
696	15508	6742
697	15529	6719
698	15548	6695
699	15570	6672
700	15591	6650
701	15614	6628
702	15634	6605
703	15653	6581
704	15671	6557
705	15688	6533
706	15706	6509
707	15723	6484
708	15741	6460
709	15758	6436
710	15777	6413
711	15796	6389
712	15815	6366
713	15832	6341
714	15849	6317
715	15869	6294
716	15885	6270
717	15905	6247
718	15930	6226
719	15958	6205
720	15979	6183
721	16004	6162
722	16035	6143
723	16064	6124
724	16090	6103
725	16116	6082
726	16141	6061
727	16163	6039
728	16184	6016
729	16212	5996
730	16231	5973
731	16256	5951
732	16274	5928
733	16291	5903
734	16308	5880
735	16326	5856
736	16347	5833
737	16366	5810
738	16386	5787
739	16403	5763
740	16422	5740
741	16439	5716
742	16457	5692
743	16475	5669
744	16494	5645
745	16513	5622
746	16531	5599
747	16557	5578
748	16574	5554
749	16590	5530
750	16609	5506
751	16626	5483
752	16648	5461
753	16669	5438
754	16693	5417
755	16714	5394
756	16734	5371
757	16762	5351
758	16784	5329
759	16809	5308
760	16835	5287
761	16852	5263
762	16869	5240
763	16885	5216
764	16904	5192
765	16924	5170
766	16957	5151
767	16984	5130
768	17000	5106
769	17020	5084
770	17042	5061
771	17071	5041
772	17099	5021
773	17126	5000
774	17149	4978
775	17172	4956
776	17192	4934
777	17213	4911
778	17235	4889
779	17263	4869
780	17284	4846
781	17307	4824
782	17330	4802
783	17351	4780
784	17378	4759
785	17402	4738
786	17421	4715
787	17445	4693
788	17471	4672
789	17495	4650
790	17513	4627
791	17531	4604
792	17557	4583
793	17588	4563
794	17612	4541
795	17635	4519
796	17652	4496
797	17670	4472
798	17687	4449
799	17704	4426
800	17722	4402
801	17740	4379
802	17758	4356
803	17777	4333
804	17796	4310
805	17813	4287
806	17830	4264
807	17849	4241
808	17868	4218
809	17886	4195
810	17904	4172
811	17924	4150
812	17950	4128
813	17972	4106
814	17998	4085
815	18021	4063
816	18046	4042
817	18074	4021
818	18094	3998
819	18115	3976
820	18138	3954
821	18159	3932
822	18180	3910
823	18205	3888
824	18224	3865
825	18246	3843
826	18271	3822
827	18288	3799
828	18307	3776
829	18326	3753
830	18346	3731
831	18366	3708
832	18386	3686
833	18404	3663
834	18423	3640
835	18441	3617
836	18457	3594
837	18475	3571
838	18491	3548
839	18510	3525
840	18528	3502
841	18548	3480
842	18566	3457
843	18585	3435
844	18603	3412
845	18621	3389
846	18639	3366
847	18664	3345
848	18684	3323
849	18715	3302
850	18735	3280
851	18755	3257
852	18775	3235
853	18794	3213
854	18815	3190
855	18838	3169
856	18861	3147
857	18880	3124
858	18903	3102
859	18930	3081
860	18957	3060
861	18984	3039
862	19005	3017
863	19032	2995
864	19058	2974
865	19085	2953
866	19110	2931
867	19132	2909
868	19153	2887
869	19170	2864
870	19190	2842
871	19211	2820
872	19232	2797
873	19257	2776
874	19288	2755
875	19312	2733
876	19335	2711
877	19361	2690
878	19384	2668
879	19408	2646
880	19429	2624
881	19453	2602
882	19477	2580
883	19499	2558
884	19525	2537
885	19546	2514
886	19565	2492
887	19584	2470
888	19604	2447
889	19622	2425
890	19643	2403
891	19663	2380
892	19682	2358
893	19701	2335
894	19721	2313
895	19739	2291
896	19759	2268
897	19780	2246
898	19798	2224
899	19817	2201
900	19837	2179
901	19856	2157
902	19876	2135
903	19898	2113
904	19924	2091
905	19961	2071
906	19988	2049
907	20014	2027
908	20037	2006
909	20060	1984
910	20088	1962
911	20110	1940
912	20135	1918
913	20158	1896
914	20181	1874
915	20201	1852
916	20221	1830
917	20240	1807
918	20258	1785
919	20276	1763
920	20294	1740
921	20314	1718
922	20332	1696
923	20351	1673
924	20370	1651
925	20391	1629
926	20410	1607
927	20427	1584
928	20446	1562
929	20464	1540
930	20483	1518
931	20502	1495
932	20521	1473
933	20539	1451
934	20557	1429
935	20580	1407
936	20604	1385
937	20625	1363
938	20642	1341
939	20662	1318
940	20680	1296
941	20698	1274
942	20718	1252
943	20737	1230
944	20754	1207
945	20773	1185
946	20793	1163
947	20814	1141
948	20840	1120
949	20862	1098
950	20882	1075
951	20907	1054
952	20934	1032
953	20959	1010
954	20991	989
955	21023	967
956	21055	946
957	21079	924
958	21105	902
959	21126	880
960	21149	858
961	21173	836
962	21196	814
963	21218	792
964	21241	770
965	21263	748
966	21282	726
967	21304	704
968	21328	682
969	21350	660
970	21372	638
971	21393	616
972	21417	594
973	21440	572
974	21463	550
975	21486	528
976	21512	506
977	21537	484
978	21563	462
979	21591	440
980	21613	418
981	21633	396
982	21660	374
983	21681	352
984	21706	330
985	21728	308
986	21754	286
987	21780	264
988	21805	242
989	21826	220
990	21851	198
991	21874	176
992	21904	154
993	21926	132
994	21954	110
995	21985	88
996	22011	66
997	22034	44
998	22060	22
999	22084	0
