iter	RMSE
177	1601.591874
178	1600.773903
179	1600.152477
180	1599.639017
181	1599.010887
182	1598.622802
183	1598.010322
184	1597.501652
185	1597.174841
186	1596.510974
187	1596.249395
188	1595.893222
189	1594.988569
190	1594.240631
191	1593.924966
192	1593.248219
193	1592.760746
194	1592.073653
195	1591.126416
196	1590.305193
197	1589.726562
198	1589.531088
199	1588.613303
200	1588.13965
201	1587.565243
202	1587.225568
203	1587.017957
204	1586.515248
205	1585.88456
206	1585.53839
207	1584.748796
208	1584.095826
209	1583.287624
210	1582.841219
211	1582.253497
212	1581.782656
213	1581.339488
214	1580.884247
215	1580.620057
216	1579.952192
217	1579.620318
218	1578.998579
219	1578.495861
220	1577.745806
221	1577.33001
222	1576.869012
223	1576.518387
224	1575.685337
225	1574.998023
226	1574.550545
227	1574.234425
228	1573.60225
229	1573.220872
230	1572.792567
231	1572.530914
232	1572.382196
233	1572.079232
234	1571.852343
235	1570.822841
236	1570.250223
237	1569.787705
238	1569.252847
239	1568.698818
240	1568.524359
241	1567.90721
242	1567.184812
243	1566.698458
244	1566.241414
245	1565.724555
246	1565.361973
247	1564.951774
248	1564.49126
249	1564.243581
250	1563.245346
251	1562.892874
252	1562.439004
253	1561.944969
254	1561.520732
255	1560.724842
256	1560.474954
257	1560.082649
258	1559.595631
259	1558.997778
260	1558.430687
261	1557.993371
262	1557.255912
263	1556.672004
264	1556.316779
265	1555.838554
266	1555.369868
267	1554.99514
268	1554.367988
269	1553.980603
270	1553.525515
271	1553.33865
272	1553.010787
273	1552.504032
274	1552.167644
275	1551.967763
276	1551.665109
277	1551.198321
278	1551.021808
279	1550.760517
280	1550.095811
281	1549.798926
282	1549.472719
283	1549.069715
284	1548.591007
285	1548.214895
286	1547.67803
287	1547.271993
288	1546.904296
289	1546.667807
290	1546.282444
291	1545.952757
292	1545.652986
293	1545.12863
294	1544.518996
295	1544.041445
296	1543.545395
297	1543.203711
298	1542.78966
299	1542.370987
300	1542.155197
301	1542.062993
302	1541.680203
303	1541.272066
304	1540.978368
305	1540.691139
306	1540.384375
307	1540.043896
308	1539.793975
309	1539.488321
310	1538.981557
311	1538.699513
312	1538.594175
313	1538.283854
314	1537.872075
315	1537.534135
316	1537.162673
317	1536.607201
318	1536.338954
319	1535.979201
320	1535.653991
321	1534.902346
322	1534.413101
323	1534.142549
324	1533.859486
325	1533.617691
326	1533.21908
327	1532.727124
328	1532.445135
329	1532.127227
330	1531.739119
331	1531.303964
332	1530.947389
333	1530.636897
334	1530.116321
335	1529.882479
336	1529.567046
337	1529.371705
338	1529.202719
339	1529.021392
340	1528.663181
341	1528.429409
342	1527.929431
343	1527.5589
344	1527.237956
345	1527.182321
346	1526.616973
347	1526.455506
348	1526.249223
349	1526.139637
350	1525.819068
351	1525.405981
352	1525.07833
353	1524.454945
354	1523.994676
355	1523.500406
356	1523.346253
357	1523.177449
358	1522.774777
359	1522.24682
360	1521.951612
361	1521.624726
362	1521.246354
363	1521.047512
364	1520.775815
365	1520.441541
366	1520.268944
367	1519.741773
368	1519.626745
369	1519.324023
370	1519.027454
371	1518.801115
372	1518.507662
373	1518.136204
374	1517.699135
375	1517.354664
376	1516.988225
377	1516.415884
378	1516.064737
379	1515.754778
380	1515.471338
381	1515.081051
382	1514.736836
383	1514.411607
384	1514.084443
385	1513.569615
386	1513.177337
387	1512.807642
388	1512.481292
389	1512.173259
390	1511.926334
391	1511.660851
392	1511.291713
393	1511.057193
394	1510.825328
395	1510.491159
396	1510.298933
397	1509.991742
398	1509.625341
399	1509.401762
400	1508.989479
401	1508.604825
402	1508.434498
403	1508.06373
404	1507.682399
405	1507.493994
406	1507.016238
407	1506.718715
408	1506.40683
409	1506.110831
410	1505.941941
411	1505.655835
412	1505.33529
413	1505.188926
414	1505.053341
415	1504.722328
416	1504.524072
417	1504.215739
418	1504.152085
419	1503.974904
420	1503.415972
421	1503.217725
422	1502.814572
423	1502.447484
424	1501.741017
425	1501.422118
426	1501.229344
427	1500.887133
428	1500.418055
429	1500.135057
430	1499.926409
431	1499.656207
432	1499.458306
433	1498.928508
434	1498.531856
435	1498.266005
436	1498.161737
437	1497.907186
438	1497.641695
439	1497.45971
440	1497.200789
441	1497.041477
442	1496.722583
443	1496.490085
444	1496.244719
445	1496.025175
446	1495.879693
447	1495.721194
448	1495.244024
449	1495.115419
450	1494.818344
451	1494.700202
452	1494.456951
453	1494.286868
454	1494.073263
455	1493.711025
456	1493.457427
457	1493.343878
458	1493.030691
459	1492.818592
460	1492.204093
461	1491.817631
462	1491.628313
463	1491.291554
464	1491.042394
465	1490.732666
466	1490.483335
467	1490.384458
468	1489.990623
469	1489.828638
470	1489.686155
471	1489.482426
472	1489.327245
473	1489.125199
474	1488.935061
475	1488.727457
476	1488.127633
477	1487.842603
478	1487.628953
479	1487.450066
480	1487.220688
481	1486.919457
482	1486.448584
483	1486.202248
484	1485.830993
485	1485.367076
486	1485.084558
487	1484.844544
488	1484.776733
489	1484.580854
490	1484.46801
491	1484.219539
492	1483.921136
493	1483.480769
494	1483.272042
495	1483.133583
496	1482.865005
497	1482.431849
498	1482.267401
499	1482.039591
500	1481.818805
501	1481.675328
502	1481.496949
503	1480.988577
504	1480.73919
505	1480.535576
506	1480.373903
507	1480.062956
508	1479.820856
509	1479.759564
510	1479.478195
511	1479.233764
512	1478.925862
513	1478.789269
514	1478.532734
515	1478.408064
516	1478.173421
517	1478.012571
518	1477.640584
519	1477.425577
520	1477.21252
521	1476.91559
522	1476.631131
523	1476.520895
524	1476.278731
525	1476.053342
526	1475.811759
527	1475.567083
528	1475.188159
529	1475.016553
530	1474.785139
531	1474.645424
532	1474.519024
533	1474.322883
534	1474.077589
535	1473.910919
536	1473.641822
537	1473.414038
538	1473.19748
539	1472.91954
540	1472.722927
541	1472.449789
542	1472.316982
543	1472.095083
544	1472.000695
545	1471.720519
546	1471.572297
547	1471.352349
548	1471.032575
549	1470.744756
550	1470.606023
551	1470.475636
552	1470.409428
553	1470.015917
554	1469.824024
555	1469.518294
556	1469.126199
557	1468.936361
558	1468.800556
559	1468.61139
560	1468.353267
561	1468.056198
562	1467.860531
563	1467.697303
564	1467.459773
565	1467.304615
566	1467.135182
567	1466.87758
568	1466.592491
569	1466.408301
570	1466.251497
571	1466.13129
572	1465.86842
573	1465.669366
574	1465.505573
575	1465.280682
576	1465.108455
577	1464.884326
578	1464.665558
579	1464.451702
580	1464.222267
581	1463.932469
582	1463.842927
583	1463.746455
584	1463.424843
585	1463.333302
586	1463.169593
587	1462.955829
588	1462.841027
589	1462.317169
590	1462.113515
591	1461.96227
592	1461.710512
593	1461.516246
594	1461.341156
595	1461.222322
596	1461.043309
597	1460.799778
598	1460.582365
599	1460.261702
600	1460.067613
601	1459.96792
602	1459.71668
603	1459.44104
604	1459.211964
605	1458.974622
606	1458.881676
607	1458.819574
608	1458.550876
609	1458.464767
610	1458.29853
611	1458.143114
612	1458.041384
613	1457.828068
614	1457.716261
615	1457.583758
616	1457.505698
617	1457.163714
618	1457.079842
619	1456.858851
620	1456.721051
621	1456.587296
622	1456.127477
623	1455.888733
624	1455.763911
625	1455.654505
626	1455.526764
627	1455.403485
628	1455.286586
629	1455.2091
630	1454.936463
631	1454.71311
632	1454.636925
633	1454.403412
634	1454.181563
635	1454.081846
636	1453.918679
637	1453.75607
638	1453.588835
639	1453.37356
640	1453.196986
641	1453.027146
642	1452.859223
643	1452.659545
644	1452.569403
645	1452.455508
646	1452.385686
647	1452.324043
648	1452.164534
649	1451.992098
650	1451.733874
651	1451.567558
652	1451.252358
653	1451.104591
654	1450.907992
655	1450.739272
656	1450.596547
657	1450.404904
658	1450.021643
659	1449.656125
660	1449.491706
661	1449.343501
662	1449.220384
663	1449.098415
664	1448.608205
665	1448.227694
666	1447.946
667	1447.897343
668	1447.748707
669	1447.694104
670	1447.542628
671	1447.379819
672	1447.193846
673	1446.976558
674	1446.830063
675	1446.749371
676	1446.573501
677	1446.29185
678	1446.078703
679	1445.866583
680	1445.60589
681	1445.437864
682	1445.308679
683	1445.161387
684	1444.997974
685	1444.915081
686	1444.770135
687	1444.55775
688	1444.340273
689	1444.227688
690	1444.014913
691	1443.884522
692	1443.705354
693	1443.508565
694	1443.289334
695	1443.043151
696	1442.818791
697	1442.691657
698	1442.529303
699	1442.420419
700	1442.029593
701	1441.87608
702	1441.639951
703	1441.521711
704	1441.394952
705	1441.248186
706	1441.125547
707	1440.988028
708	1440.768745
709	1440.665041
710	1440.47902
711	1440.259634
712	1439.979418
713	1439.908376
714	1439.778762
715	1439.634027
716	1439.454526
717	1439.220759
718	1439.112826
719	1438.990055
720	1438.919372
721	1438.508801
722	1438.359233
723	1438.18472
724	1438.056329
725	1437.890279
726	1437.800858
727	1437.658039
728	1437.504288
729	1437.348562
730	1437.276642
731	1437.036655
732	1436.944517
733	1436.738395
734	1436.606218
735	1436.484099
736	1436.296308
737	1436.170134
738	1436.0738
739	1435.884472
740	1435.740715
741	1435.671123
742	1435.542704
743	1435.359338
744	1435.114103
745	1434.859147
746	1434.662404
747	1434.468131
748	1434.41649
749	1434.346747
750	1434.208062
751	1434.085103
752	1433.932136
753	1433.748438
754	1433.617342
755	1433.452203
756	1433.293605
757	1433.046774
758	1432.858264
759	1432.509013
760	1432.329559
761	1432.241923
762	1432.112123
763	1431.976235
764	1431.83861
765	1431.698725
766	1431.530592
767	1431.333599
768	1431.179172
769	1431.079024
770	1430.88045
771	1430.559217
772	1430.424686
773	1430.315177
774	1430.24673
775	1430.12106
776	1430.041183
777	1429.943168
778	1429.753817
779	1429.384788
780	1429.25821
781	1429.124651
782	1428.986164
783	1428.843815
784	1428.613081
785	1428.478988
786	1428.329894
787	1428.111024
788	1427.984116
789	1427.756655
790	1427.407607
791	1427.331594
792	1427.183444
793	1426.974474
794	1426.756204
795	1426.536388
796	1426.462119
797	1426.363289
798	1426.293082
799	1426.208881
800	1426.044889
801	1425.955879
802	1425.731351
803	1425.503939
804	1425.389238
805	1425.21027
806	1424.997458
807	1424.899935
808	1424.768394
809	1424.571849
810	1424.265202
811	1424.090242
812	1423.950779
813	1423.893656
814	1423.653024
815	1423.395401
816	1423.327871
817	1423.167793
818	1423.093643
819	1422.935614
820	1422.868716
821	1422.773891
822	1422.599177
823	1422.465462
824	1422.325408
825	1422.174471
826	1422.017719
827	1421.940698
828	1421.832949
829	1421.730308
830	1421.538496
831	1421.348939
832	1421.219766
833	1421.125073
834	1420.831685
835	1420.637005
836	1420.579969
837	1420.430206
838	1420.341483
839	1420.075058
840	1419.967067
841	1419.837605
842	1419.642741
843	1419.455665
844	1419.200205
845	1419.001724
846	1418.956687
847	1418.808313
848	1418.725587
849	1418.637268
850	1418.595567
851	1418.485918
852	1418.393143
853	1418.218169
854	1418.087145
855	1417.811971
856	1417.629279
857	1417.418147
858	1417.267871
859	1417.120023
860	1416.871881
861	1416.74766
862	1416.571512
863	1416.444737
864	1416.331445
865	1416.100928
866	1415.983321
867	1415.756625
868	1415.653817
869	1415.535402
870	1415.386114
871	1415.248195
872	1415.156001
873	1414.993554
874	1414.858955
875	1414.738865
876	1414.580987
877	1414.524323
878	1414.313687
879	1414.147673
880	1414.05463
881	1413.908932
882	1413.732276
883	1413.627799
884	1413.398395
885	1413.237942
886	1413.117626
887	1412.886817
888	1412.728601
889	1412.683128
890	1412.512138
891	1412.33056
892	1412.155474
893	1412.107353
894	1411.859196
895	1411.817858
896	1411.583848
897	1411.400911
898	1411.342082
899	1411.126291
900	1410.9899
901	1410.881899
902	1410.746473
903	1410.518643
904	1410.411509
905	1410.199756
906	1410.115032
907	1409.885466
908	1409.768326
909	1409.745423
910	1409.665769
911	1409.550186
912	1409.407471
913	1409.300439
914	1409.138249
915	1408.951534
916	1408.796647
917	1408.692225
918	1408.566545
919	1408.242961
920	1408.124274
921	1408.016383
922	1407.927674
923	1407.77972
924	1407.725565
925	1407.585551
926	1407.446501
927	1407.393944
928	1407.229227
929	1407.142212
930	1407.029023
931	1406.897148
932	1406.742443
933	1406.615345
934	1406.365024
935	1406.187247
936	1406.03981
937	1405.900318
938	1405.768569
939	1405.595267
940	1405.39934
941	1405.294577
942	1405.08899
943	1404.920749
944	1404.790018
945	1404.669324
946	1404.617307
947	1404.512926
948	1404.367578
949	1404.268792
950	1404.156272
951	1404.054812
952	1404.017333
953	1403.920367
954	1403.78547
955	1403.666387
956	1403.500151
957	1403.292847
958	1403.11539
959	1402.966418
960	1402.842583
961	1402.675591
962	1402.475302
963	1402.388824
964	1402.288189
965	1402.180257
966	1402.129183
967	1402.060952
968	1401.934462
969	1401.823778
970	1401.639503
971	1401.582903
972	1401.388467
973	1401.153025
974	1401.02268
975	1400.94422
976	1400.794599
977	1400.688264
978	1400.536888
979	1400.417853
980	1400.24296
981	1400.201263
982	1400.041465
983	1399.923392
984	1399.8129
985	1399.68614
986	1399.583118
987	1399.46929
988	1399.147068
989	1398.998182
990	1398.895684
991	1398.748715
992	1398.629681
993	1398.565411
994	1398.468927
995	1398.331645
996	1398.212279
997	1398.159485
998	1398.041928
999	1397.889012
